driver_id,base_zone,employment_type,years_experience,training_score,driver_rating,shift_preference,active_flag,base_zone_clean,zone_clean
D001,AIRPORT,FullTime,8,67.8,3.54,Morning,1,Airport,Airport
D002,Central,FullTime,4,42.4,3.94,Evening,1,Central,Central
D003,AIRPORT,FullTime,11,96.5,5.0,Evening,1,Airport,Airport
D004,Airport,PartTime,13,88.9,4.75,Morning,1,Airport,Airport
D005,north,FullTime,3,69.7,4.14,Morning,1,North,North
D006,CENTRAL,FullTime,8,78.8,4.38,Flexible,1,Central,Central
D007,North,FullTime,4,92.6,3.94,Evening,1,North,North
D008,SOUTH,FullTime,9,84.1,3.88,Morning,1,South,South
D009,Airport,FullTime,15,63.4,3.8,Night,1,Airport,Airport
D010,West,FullTime,8,70.0,3.95,Evening,1,West,West
D011,East,FullTime,3,89.4,3.85,Night,1,East,East
D012,SOUTH,FullTime,10,95.1,4.48,Night,1,South,South
D013,West,FullTime,11,80.8,4.31,Morning,1,West,West
D014,NORTH,FullTime,6,76.1,4.7,Evening,1,North,North
D015,East,FullTime,11,85.1,4.34,Morning,1,East,East
D016,AIRPORT,FullTime,6,81.9,4.31,Evening,1,Airport,Airport
D017,EAST,PartTime,1,75.2,4.34,Morning,1,East,East
D018,WEST,PartTime,14,73.8,4.57,Flexible,1,West,West
D019,Riverside,FullTime,11,73.4,3.82,Flexible,0,Riverside,Riverside
D020,East,FullTime,6,75.2,4.61,Evening,1,East,East
D021,South,FullTime,7,91.8,4.24,Evening,1,South,South
D022,EAST,FullTime,9,68.7,3.36,Flexible,1,East,East
D023,EAST,FullTime,11,79.1,4.16,Night,1,East,East
D024,RiverSide,PartTime,8,71.4,3.35,Evening,1,Riverside,Riverside
D025,North,FullTime,1,86.4,3.72,Morning,1,North,North
D026,NORTH,PartTime,4,84.9,3.15,Night,0,North,North
D027,AIRPORT,PartTime,12,74.3,3.7,Night,1,Airport,Airport
D028,North,FullTime,11,83.0,4.07,Flexible,1,North,North
D029,EAST,Contract,2,70.2,3.84,Flexible,1,East,East
D030,CENTRAL,FullTime,7,74.0,4.56,Night,1,Central,Central
D031,NORTH,FullTime,10,91.5,4.03,Flexible,1,North,North
D032,East,PartTime,6,81.5,3.99,Evening,1,East,East
D033,South,PartTime,9,59.8,4.05,Night,1,South,South
D034,West,FullTime,11,71.3,4.27,Morning,1,West,West
D035,Ctr,FullTime,5,66.2,3.71,Flexible,0,Ctr,Ctr
D036,Airport,PartTime,9,79.3,4.69,Morning,1,Airport,Airport
D037,north,PartTime,7,63.9,4.67,Morning,1,North,North
D038,SOUTH,FullTime,5,67.4,3.72,Evening,1,South,South
D039,AIRPORT,Contract,7,86.1,4.06,Evening,1,Airport,Airport
D040,Riverside,FullTime,7,55.6,4.4,Night,1,Riverside,Riverside
D041,EAST,PartTime,3,88.2,3.67,Morning,1,East,East
D042,North,FullTime,9,70.5,3.37,Night,1,North,North
D043,NORTH,FullTime,13,80.3,4.6,Evening,0,North,North
D044,AIRPORT,FullTime,11,79.4,4.05,Night,1,Airport,Airport
D045,NORTH,FullTime,2,59.6,4.12,Flexible,1,North,North
D046,South,FullTime,5,82.2,4.06,Morning,1,South,South
D047,South,FullTime,7,64.6,4.7,Morning,1,South,South
D048,East,FullTime,7,76.3,3.45,Flexible,1,East,East
D049,CENTRAL,Contract,14,41.4,4.0,Morning,1,Central,Central
D050,NORTH,FullTime,6,87.4,3.9,Evening,1,North,North
D051,WEST,FullTime,3,75.4,3.58,Evening,1,West,West
D052,Riverside,FullTime,8,71.7,3.39,Morning,1,Riverside,Riverside
D053,West,FullTime,5,83.3,3.8,Morning,1,West,West
D054,WEST,FullTime,3,80.1,4.32,Morning,1,West,West
D055,Central,FullTime,15,90.5,5.0,Flexible,1,Central,Central
D056,West,FullTime,12,74.6,4.45,Evening,1,West,West
D057,WEST,FullTime,6,75.0,4.25,Morning,1,West,West
D058,AIRPORT,FullTime,9,82.7,4.27,Flexible,1,Airport,Airport
D059,north,FullTime,7,82.8,4.22,Night,1,North,North
D060,South,FullTime,4,76.0,4.49,Morning,1,South,South
D061,RiverSide,Contract,8,85.9,4.38,Evening,1,Riverside,Riverside
D062,South,FullTime,10,62.4,4.48,Flexible,1,South,South
D063,north,PartTime,12,85.7,4.03,Morning,1,North,North
D064,SOUTH,PartTime,14,88.9,4.18,Morning,1,South,South
D065,Riverside,FullTime,14,59.6,4.02,Morning,1,Riverside,Riverside
D066,SOUTH,PartTime,1,83.3,4.13,Flexible,1,South,South
D067,WEST,FullTime,11,77.0,4.84,Morning,1,West,West
D068,Central,PartTime,10,83.9,3.99,Flexible,1,Central,Central
D069,NORTH,PartTime,2,61.5,5.0,Evening,0,North,North
D070,South,FullTime,9,67.0,5.0,Flexible,1,South,South
D071,CENTRAL,PartTime,12,56.7,4.49,Evening,1,Central,Central
D072,South,FullTime,10,75.8,4.47,Evening,1,South,South
D073,East,FullTime,11,76.9,4.58,Evening,1,East,East
D074,Central,FullTime,12,79.5,4.61,Evening,1,Central,Central
D075,Airport,FullTime,13,99.0,3.62,Evening,1,Airport,Airport
D076,East,FullTime,15,61.6,3.88,Morning,1,East,East
D077,South,FullTime,8,64.9,3.68,Morning,1,South,South
D078,north,FullTime,11,73.7,4.28,Morning,1,North,North
D079,South,PartTime,1,75.2,4.48,Night,1,South,South
D080,Central,FullTime,11,75.2,4.35,Flexible,1,Central,Central
D081,RiverSide,PartTime,1,82.0,4.78,Flexible,1,Riverside,Riverside
D082,WEST,PartTime,14,74.1,4.63,Evening,1,West,West
D083,North,FullTime,12,80.8,4.16,Flexible,1,North,North
D084,Central,PartTime,2,47.2,3.99,Evening,1,Central,Central
D085,North,PartTime,9,84.5,4.11,Evening,0,North,North
D086,north,PartTime,14,70.6,5.0,Flexible,1,North,North
D087,north,Contract,13,73.3,4.43,Night,1,North,North
D088,Riverside,Contract,4,84.3,4.17,Morning,1,Riverside,Riverside
D089,Ctr,FullTime,2,71.1,4.57,Night,1,Ctr,Ctr
